author_name,lovaina_community
"Acosta Herrera, Marialbert",0
"Berzal Herranz, Alfredo",7
"Castanys, Santiago",2
"Delgado Mora, Mario",2
"Estévez García, Antonio Manuel",4
"Gómez Castilla, Jordi",7
"Gómez Díaz, Elena",4
"González Pacanowska, Dolores",4
"Ruiz Pérez, Luis Miguel",4
"González Rey, Elena",2
"Hernández López de Munaín, Cristina",5
"López Giménez, Juan F.",6
"López López, Manuel Carlos",7
"Márquez Ortiz, Ana María",0
"Martín Ibáñez, Javier",0
"Matesanz del Barrio, Fuencisla",1
"Alcina, Antonio",1
"Morales Sánchez, Juan Carlos",2
"Navarro Carretero, Miguel",4
"Oliver Pozo, Francisco Javier",2
"Ortiz Fernández, Lourdes",0
"Pérez Victoria, José María",2
"Sánchez Luque, Francisco José",7
"Sánchez Navarro, Macarena",5
"Suñé, Carlos",5
"Thomas, María del Carmen",7
"Vidal Romero, Antonio",4
"Zubiaur, Mercedes",3
"Sancho López, Jaime",3
